target,TrainingPercent,folds,trainMHS,testMHS,calibrationMHS,AdjustedRSquared
PDR,0.9,5,0.972977646402068,0.968123411616164,0.965300376767537,0.904760041254302
PBR,0.9,5,0.962300468625318,0.955947933852263,0.955636687984826,0.657532755814564
A12,0.9,5,0.93730207283931,0.924573570197439,0.916305086569579,0.613825598953227
A15,0.9,5,0.971328166467389,0.96289874399598,0.961641115890571,0.963458487566542
Light,0.9,5,0.917648525254824,0.900101991754622,0.900349953460882,0.721775723431908
total,0.9,5,0.986685098271054,0.981210602665476,0.98034913392108,0.934108391697488
PDR,0.9,10,0.973106678141924,0.966543862915979,0.964306152207986,0.835457026702978
PBR,0.9,10,0.964157392263005,0.954398699405086,0.955620641374696,0.622115254632131
A12,0.9,10,0.941618288835021,0.922176263194353,0.915630656261201,0.5927152734377
A15,0.9,10,0.970056420401493,0.962486677487452,0.960896443306701,0.961806514984174
Light,0.9,10,0.90966601816061,0.900672466695717,0.89659616974655,0.660488256900061
total,0.9,10,0.984763490758306,0.980643697535405,0.977309020210828,0.942636236979855
PDR,0.8,5,0.973690912500401,0.967127963311058,0.964306152207986,0.902396661207669
PBR,0.8,5,0.966082706454193,0.955082828229819,0.955620641374696,0.63611465659125
A12,0.8,5,0.936677052971968,0.924895019978165,0.921411817194053,0.615970281808213
A15,0.8,5,0.971166074682373,0.963555412834933,0.964297775320856,0.9483623545513
Light,0.8,5,0.915898540659926,0.900195400808815,0.902204909471265,0.715031540951022
total,0.8,5,0.985466669922031,0.981177126617855,0.98115583089283,0.958889301100158
PDR,0.8,10,0.975871352391244,0.965309912374072,0.964306152207986,0.876399078286093
PBR,0.8,10,0.963672895527053,0.953510892268472,0.955620641374696,0.629682141030977
A12,0.8,10,0.940134093580941,0.922714139161864,0.919736522358825,0.613822366936904
A15,0.8,10,0.976773967784613,0.961790122085471,0.961281680087258,0.914222958334193
Light,0.8,10,0.921693444150784,0.899737639916799,0.898183383375213,0.720551166651931
total,0.8,10,0.988517058443591,0.980098624175149,0.979368027918186,0.968533589804822
PDR,0.7,5,0.973305252435181,0.967566733994063,0.964306152207986,0.882857776664254
PBR,0.7,5,0.96246219666246,0.955330987651626,0.955620641374696,0.67317912876114
A12,0.7,5,0.937272078394753,0.923913695528848,0.920040818499658,0.592373915936833
A15,0.7,5,0.969888110699155,0.962576420842207,0.962818668800012,0.95920377973863
Light,0.7,5,0.915451600522499,0.902507307749895,0.899970239821405,0.739905039560278
total,0.7,5,0.98522131804464,0.980731613266602,0.980067855215803,0.960262935133494
PDR,0.7,10,0.976352421620906,0.965179098273274,0.964306152207986,0.862188629016918
PBR,0.7,10,0.963778017597023,0.952847903737001,0.955620641374696,0.611764834598245
A12,0.7,10,0.94511291748075,0.920920196417221,0.91685480166722,0.574994922101666
A15,0.7,10,0.975644163860054,0.962368655820323,0.961855772932336,0.945843867599033
Light,0.7,10,0.920089854310544,0.903176651645356,0.902258606733109,0.695304960813652
total,0.7,10,0.988226234870315,0.980082322085679,0.979190995971731,0.955195558249489
PDR,0.6,5,0.976906486826842,0.966523008461429,0.964306152207986,0.84491699613858
PBR,0.6,5,0.965714239957292,0.954920730425376,0.955620641374696,0.679919989240007
A12,0.6,5,0.944370223604362,0.923823652125363,0.919873556075303,0.635808802762931
A15,0.6,5,0.972565000947885,0.963296898672679,0.960963546512373,0.945716578424201
Light,0.6,5,0.907046536290176,0.898949606979894,0.898420952181639,0.677212724439122
total,0.6,5,0.985700641558358,0.980742729622502,0.978124821931263,0.96318524261772
PDR,0.6,10,0.981181165895682,0.964834266953428,0.964306152207986,0.819519359966026
PBR,0.6,10,0.9696197773127,0.952662675706267,0.955620641374696,0.647004962159057
A12,0.6,10,0.951336843664873,0.92115695593096,0.917721601747479,0.646000438974669
A15,0.6,10,0.976651636527711,0.961516606971425,0.961403146627843,0.899805906735738
Light,0.6,10,0.924496842875489,0.900117518726398,0.899094166675372,0.676331947023619
total,0.6,10,0.988153411109443,0.979691395397862,0.979124628365251,0.925127626013131
PDR,0.5,5,0.975478917090544,0.966101716086997,0.964306152207986,0.904918605415576
PBR,0.5,5,0.969216198074773,0.954732542427677,0.955620641374696,0.658158693518114
A12,0.5,5,0.946766986229687,0.923575883520843,0.918683719039811,0.659253572978856
A15,0.5,5,0.973968194476574,0.962098170625721,0.961844973956238,0.888976302507137
Light,0.5,5,0.923197120004145,0.900380497972504,0.898348969945507,0.681372671058834
total,0.5,5,0.987819168566055,0.980147529522257,0.979021890385806,0.926436003020625
PDR,0.5,10,0.975893587268614,0.964509328118368,0.964306152207986,0.875353074438473
PBR,0.5,10,0.963714894961421,0.953263424102138,0.955620641374696,0.608882647738519
A12,0.5,10,0.948980192813214,0.922233662622292,0.916535746314089,0.591154511818743
A15,0.5,10,0.982506766826943,0.960726352157927,0.96289364097618,0.961528256188432
Light,0.5,10,0.923064848033133,0.903208852356841,0.903810600651847,0.664177746758772
total,0.5,10,0.991394594723268,0.979148127168374,0.978686983974137,0.947489690760746
